founded_at,funding_rounds,funding_total_usd,milestones,lat,lng,relationships,status
2010,5.0,125371133.0,1.0,40.7127753,-74.0059728,4.0,1
2011,5.0,125371133.0,1.0,-22.9068467,-43.1728965,1.0,1
2000,5.0,125371133.0,1.0,49.282729100000005,-123.1207375,4.0,1
1999,5.0,125371133.0,1.0,57.70887,11.97456,4.0,1
2011,5.0,125371133.0,1.0,40.7127753,-74.0059728,4.0,1
2011,5.0,125371133.0,1.0,36.8529263,-75.977985,6.0,1
2007,5.0,125371133.0,1.0,37.7749295,-122.4194155,2.0,1
1996,5.0,125371133.0,2.0,40.7127753,-74.0059728,7.0,1
2010,5.0,125371133.0,1.0,37.7749295,-122.4194155,1.0,1
2005,5.0,125371133.0,2.0,51.0543422,3.7174242999999993,3.0,1
2003,5.0,125371133.0,2.0,37.3541079,-121.9552356,1.0,1
2007,5.0,125371133.0,1.0,41.6639383,-83.555212,4.0,1
2003,5.0,125371133.0,1.0,48.856614,2.3522218999999995,1.0,2
2009,5.0,125371133.0,1.0,51.5073509,-0.1277583,4.0,1
2008,5.0,125371133.0,2.0,39.9041999,116.4073963,7.0,1
2008,5.0,125371133.0,1.0,51.5073509,-0.1277583,4.0,1
2008,5.0,125371133.0,1.0,34.0522342,-118.24368490000002,4.0,1
2010,5.0,125371133.0,1.0,33.7293882,73.09314609999998,1.0,1
2006,5.0,125371133.0,1.0,26.1003654,-80.3997748,2.0,1
2008,5.0,125371133.0,1.0,41.3897764,-81.4412259,4.0,1
2005,5.0,125371133.0,1.0,42.5256563,-71.09528909999999,4.0,1
2006,6.0,67650000.0,2.0,37.4852152,-122.2363548,31.0,1
1980,5.0,125371133.0,1.0,32.715738,-117.1610838,2.0,4
2011,5.0,125371133.0,1.0,44.2619309,-88.4153847,4.0,1
2011,5.0,125371133.0,1.0,37.4418834,-122.1430195,1.0,1
2010,5.0,125371133.0,1.0,44.786568,20.4489216,2.0,1
2010,5.0,125371133.0,1.0,39.1677134,-120.1451812,1.0,1
2011,5.0,125371133.0,1.0,62.2426034,25.7472567,1.0,1
2003,5.0,125371133.0,1.0,34.0522342,-118.24368490000002,4.0,1
2007,5.0,125371133.0,1.0,33.494170399999994,-111.9260519,4.0,1
2010,5.0,125371133.0,1.0,32.2217429,-110.926479,1.0,1
2004,5.0,125371133.0,1.0,45.5016889,-73.567256,4.0,1
1999,5.0,125371133.0,1.0,37.3382082,-121.88632859999998,1.0,1
2005,5.0,125371133.0,1.0,24.8614622,67.00993879999999,2.0,1
2010,5.0,125371133.0,1.0,49.282729100000005,-123.1207375,1.0,1
2001,5.0,125371133.0,1.0,25.0329694,121.5654177,2.0,1
2007,5.0,125371133.0,1.0,46.635417,32.616867,1.0,1
2010,5.0,125371133.0,1.0,9.9981413,-84.11976429999999,4.0,1
2011,5.0,125371133.0,1.0,39.5296329,-119.8138027,3.0,1
1972,5.0,125371133.0,1.0,40.7127753,-74.0059728,37.0,1
1998,5.0,125371133.0,1.0,28.03446210000001,-80.5886646,2.0,1
2008,5.0,125371133.0,2.0,52.3702157,4.895167900000001,23.0,1
2008,5.0,125371133.0,1.0,52.3702157,4.895167900000001,2.0,1
1986,5.0,125371133.0,1.0,51.5073509,-0.1277583,5.0,1
2002,5.0,125371133.0,1.0,48.856614,2.3522218999999995,1.0,1
2011,5.0,125371133.0,1.0,17.385044,78.486671,4.0,1
2008,5.0,125371133.0,1.0,37.8718992,-122.2585399,4.0,1
2010,5.0,125371133.0,2.0,37.4418834,-122.1430195,2.0,1
2010,5.0,125371133.0,1.0,32.095838,34.952177,3.0,1
2007,5.0,125371133.0,1.0,32.715738,-117.1610838,4.0,1
2007,5.0,125371133.0,1.0,36.778261,-119.4179324,4.0,1
